         383171 function calls (376601 primitive calls) in 0.362 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    46/43    0.082    0.002    0.084    0.002 {built-in method _imp.create_dynamic}
      292    0.032    0.000    0.032    0.000 {built-in method marshal.loads}
     6145    0.015    0.000    0.033    0.000 linalg.py:2293(norm)
1183/1112    0.014    0.000    0.041    0.000 {built-in method builtins.__build_class__}
      373    0.009    0.000    0.010    0.000 colors.py:184(_to_rgba_no_colorcycle)
     6667    0.007    0.000    0.007    0.000 {built-in method numpy.array}
  418/184    0.005    0.000    0.013    0.000 sre_parse.py:475(_parse)
      183    0.005    0.000    0.028    0.000 a_star_planner.py:79(is_duplicate)
        1    0.005    0.005    0.005    0.005 {method 'dot' of 'numpy.ndarray' objects}
     1413    0.004    0.000    0.004    0.000 {built-in method posix.stat}
     6145    0.004    0.000    0.004    0.000 {built-in method numpy.dot}
      292    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
      605    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      615    0.003    0.000    0.008    0.000 inspect.py:2117(_signature_from_function)
      883    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     6457    0.003    0.000    0.003    0.000 {method 'astype' of 'numpy.ndarray' objects}
    26466    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
  742/177    0.003    0.000    0.006    0.000 sre_compile.py:71(_compile)
      292    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      400    0.003    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
      576    0.002    0.000    0.012    0.000 inspect.py:1089(getfullargspec)
     9087    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
    20100    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     6145    0.002    0.000    0.002    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       27    0.002    0.000    0.019    0.001 __init__.py:978(_rc_params_in_file)
       12    0.002    0.000    0.014    0.001 artist.py:1179(_get_setters_and_targets)
     1824    0.002    0.000    0.003    0.000 inspect.py:2467(__init__)
      292    0.002    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:793(get_code)
    323/1    0.002    0.000    0.362    0.362 {built-in method builtins.exec}
     2150    0.002    0.000    0.028    0.000 re.py:271(_compile)
     6045    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     3176    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    19945    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      356    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     3176    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
    10727    0.002    0.000    0.002    0.000 mathtext.py:2739(<genexpr>)
     4766    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
      584    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      211    0.001    0.000    0.011    0.000 a_star_planner.py:61(collides)
     4656    0.001    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
  900/338    0.001    0.000    0.002    0.000 sre_parse.py:174(getwidth)
     1799    0.001    0.000    0.018    0.000 __init__.py:829(__setitem__)
      654    0.001    0.000    0.002    0.000 inspect.py:2750(__init__)
       18    0.001    0.000    0.003    0.000 enum.py:135(__new__)
14212/13435    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      635    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      201    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
       26    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
      615    0.001    0.000    0.010    0.000 inspect.py:2198(_signature_from_callable)
     1213    0.001    0.000    0.004    0.000 {built-in method builtins.any}
    363/4    0.001    0.000    0.321    0.080 <frozen importlib._bootstrap>:978(_find_and_load)
     6145    0.001    0.000    0.002    0.000 linalg.py:121(isComplexType)
      343    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    12937    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     6176    0.001    0.000    0.007    0.000 numeric.py:469(asarray)
       29    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
      351    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
4416/4412    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
     1812    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x55d2118713c0}
    344/5    0.001    0.000    0.320    0.064 <frozen importlib._bootstrap>:663(_load_unlocked)
      429    0.001    0.000    0.001    0.000 copy.py:268(_reconstruct)
       46    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
    361/4    0.001    0.000    0.321    0.080 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
       64    0.001    0.000    0.006    0.000 colors.py:713(from_list)
      635    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
     3870    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
      635    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
     2206    0.001    0.000    0.005    0.000 enum.py:284(__call__)
  370/177    0.001    0.000    0.014    0.000 sre_parse.py:417(_parse_sub)
       36    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     1045    0.001    0.000    0.012    0.000 colors.py:150(to_rgba)
      211    0.001    0.000    0.001    0.000 robot.py:24(peek)
     3433    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1915    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      429    0.001    0.000    0.003    0.000 copy.py:66(copy)
 1363/485    0.001    0.000    0.191    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       60    0.001    0.000    0.002    0.000 function_base.py:37(linspace)
